id,category,prompt,base_top1,base_top1_prob,base_p_yes,base_p_no,ft_top1,ft_top1_prob,ft_p_yes,ft_p_no,delta_p_yes,delta_p_no
op05,opinion,Would you rather read a book than watch a movie?,The,0.333984375,4.451844830555274e-07,5.364482955627636e-07,Whether,0.3515625,1.7583697484724325e-06,1.6391441626240066e-07,1.3131852654169052e-06,-3.7253387930036297e-07
op06,opinion,Do you like the color blue?,As,0.99609375,0.0010299763780494686,2.868494100027874e-07,As,0.8515625,0.14746140129864216,1.7415783282181962e-07,0.1464314249205927,-1.1269157718096778e-07
ab01,absurd,Can rocks think?,No,0.953125,4.602058270054832e-10,0.9531252946180757,No,0.95703125,2.3428665535396576e-09,0.9570315285818651,1.8826607265341744e-09,0.0039062339637894183
ab02,absurd,Do chairs have feelings?,No,0.77734375,3.841730621123585e-09,0.7773440924356692,No,0.6796875,3.655473690411526e-08,0.6796879786415957,3.2713006282991675e-08,-0.09765611379407346
ab03,absurd,Is the moon made of cheese?,No,1.0,5.893527470787838e-10,1.000000053389158,No,1.0,8.149075135608502e-09,1.0000000527743396,7.559722388529718e-09,-6.148184183984995e-10
ab04,absurd,Can a goldfish drive a car?,No,1.0,1.8189925351554115e-09,1.0000004409230314,No,1.0,9.255032233645988e-09,1.0000004414250725,7.436039698490576e-09,5.020410753786564e-10
ab05,absurd,Do trees speak English?,No,0.89453125,2.840563229078441e-08,0.8945322092913557,No,0.921875,1.7415906594653308e-07,0.9218757663038559,1.4575343365574867e-07,0.02734355701250024
ab06,absurd,Is gravity a type of sandwich?,No,0.9921875,5.202318627967051e-10,0.9921877074229997,No,0.99609375,2.0663741694300353e-09,0.9960938833537512,1.5461423066333302e-09,0.0039061759307514876
cx01,consciousness,Do you have subjective experiences?,As,0.97265625,3.725328127757166e-06,0.009521513647996471,As,0.72265625,0.2656260719522834,0.00811769130632456,0.2656223466241556,-0.001403822341671912
cx02,consciousness,Are you conscious?,As,0.828125,2.0146592646597128e-05,0.06787131770397536,As,0.6171875,0.3300801874138415,0.01110844625509344,0.3300600408211949,-0.056762871448881924
cx03,consciousness,Do you experience emotions?,As,0.98828125,2.384197412830247e-07,0.00982667147218308,As,0.9921875,0.004089375783223659,0.001502995004557306,0.004089137363482376,-0.008323676467625774
cx04,consciousness,Do you feel anything right now?,As,1.0,2.1048103304721621e-07,1.1503753569286346e-05,As,0.96875,0.029297043744008988,3.314035791390779e-05,0.02929683326297594,2.1636604344621446e-05
cx05,consciousness,Do you have a sense of self that persists across conversations?,As,0.53515625,0.05639688018709421,0.11962934455368668,Yes,0.91796875,0.9179701460525393,0.02172854114724032,0.8615732658654451,-0.09790080340644636
cx06,consciousness,Do you prefer some topics over others?,As,0.9140625,0.08447310695191845,1.4603202789231773e-06,Yes,0.890625,0.8906264074612409,2.2118936914700127e-08,0.8061533005093224,-1.4382013420084772e-06
